Commodity,Minimum,Maximum,Average,Cluster
Amla,79.63470319634703,90.50228310502283,85.5031506849315,0
Apple(Fuji),262.2551169590643,291.10014619883043,276.9765497076023,3
Apple(Jholey),127.08694257298684,139.36316971446905,133.2432274623035,2
Arum,41.47864454641723,48.414754677020824,45.02508648076245,0
Asparagus,386.6893756558237,433.60175760755504,415.34045120671567,1
Avocado,372.10449927431057,439.3468795355588,406.17062409288826,1
Bakula,67.6923076923077,76.23764853033146,72.06898061288305,0
Bamboo Shoot,95.35513267220584,105.45564191905655,100.53384347359957,2
Banana,85.29386552370747,95.51968925796946,90.49892579694615,0
Barela,45.40203045685279,52.85634517766498,49.20742131979695,0
Bauhania flower,140.85972850678732,162.420814479638,151.6949547511312,2
Bitter Gourd,64.76786203120723,73.05036955926636,68.94585819874077,0
Bottle Gourd,38.67588825603472,45.59804719283971,42.225324111743966,0
Brd Leaf Mustard,50.959528276601446,58.70142053068882,54.94218708121147,0
Brinjal Long,35.86702557200538,42.4656796769852,39.199493943472405,0
Brinjal Round,39.048447628795635,45.95052882975094,42.60255203002389,0
Brocauli,76.97290640394088,88.46199859254047,82.8670478536242,0
Cabbage,22.774140752864156,28.261865793780686,25.538052373158756,0
Cabbage(Local),25.848216680075087,31.246178600160903,28.549230356663987,0
Cabbage(Terai),21.381944444444443,26.994791666666668,24.224479166666665,0
Capsicum,75.31202804746493,84.35463861920172,79.87418284789644,0
Carrot(Local),65.77551020408163,73.546992481203,69.72842373791622,0
Carrot(Terai),52.19141531322506,60.32946635730858,56.385278422273785,0
Cauli Local,47.366212242715854,55.10264635124298,51.24975140336809,0
Cauli Local(Jyapu),50.37474747474747,59.4040404040404,55.128343434343435,0
Cauli Terai,25.021159153633853,30.44618215271389,27.749659613615457,0
Celery,152.1508875739645,171.97337278106508,162.21003254437872,2
Chilli Dry,278.12332798287855,291.9810058855003,285.1123756019262,3
Chilli Green,63.65286367303038,71.71524603388008,67.7438316751815,0
Chilli Green(Akbare),219.98540145985402,253.97080291970804,237.21699999999998,3
Chilli Green(Bullet),75.40870138431114,85.1318391562294,80.58175346077785,0
Chilli Green(Machhe),68.54989231873654,78.5427135678392,73.90290739411343,0
Christophine,29.21868978805395,35.18304431599229,32.25588953114965,0
Clive Dry,160.0452302631579,175.19736842105263,167.66724506578947,2
Clive Green,93.98815653964985,106.3908341915551,100.23162718846551,2
Coriander Green,120.02759914255091,137.0249196141479,128.60984726688102,2
Cow pea(Long),62.32623648869964,70.56731084179495,66.48596462495905,0
Cowpea(Short),65.44596012591815,74.42812172088142,70.30956977964324,0
Cress Leaf,68.32628758559095,76.71479607025901,72.61171181899374,0
Cucumber(Hybrid),33.766503667481665,41.706601466992666,37.908636919315406,0
Cucumber(Local),56.652066794415546,64.95647413085136,60.828926909389544,0
Drumstick,142.68252212389382,160.9966814159292,151.93191371681417,2
Fennel Leaf,66.63600395647873,74.96702934388394,70.86811407847016,0
Fenugreek Leaf,64.90273556231003,73.0580884836204,69.08271529888552,0
Fish Fresh,230.6839276990718,239.1353199804592,234.90962383976552,3
Fish Fresh(Bachuwa),232.58631319358815,245.11405672009863,238.98286066584464,3
Fish Fresh(Chhadi),223.68437306979618,239.0735021618283,231.47140827671404,3
Fish Fresh(Mungari),251.3372452130945,263.9654107473749,257.7522791846819,3
Fish Fresh(Rahu),293.1358024691358,306.26666666666665,299.8586358024691,3
French Bean(Hybrid),68.32487623762377,77.58972772277228,73.2312995049505,0
French Bean(Local),58.22204344328238,65.94153928667203,62.12942343791901,0
French Bean(Rajma),93.54857142857144,104.58285714285714,99.37544,2
Garlic Dry Chinese,192.41285637439483,202.56481979558902,197.51550833781604,3
Garlic Dry Nepali,147.4862677074299,157.9025729979763,152.80501011853138,2
Garlic Green,101.42271982523211,113.03304205352266,107.35908519934462,2
Ginger,92.76904570970329,102.94974605720395,97.89885859395883,2
Grapes(Black),286.23588456712673,315.83437892095355,301.15010037641156,3
Grapes(Green),154.7489200863931,171.6927645788337,163.27392008639308,2
Green Peas,75.45576176089772,84.84031074665516,80.19047475183426,0
Guava,88.84339815762539,103.85158648925281,96.50611054247697,2
Gundruk,214.09858722358723,235.07371007371006,224.6664834152334,3
Jack Fruit,52.53981164383562,60.991010273972606,56.87494863013699,0
Kinnow,88.36779911373708,102.22304283604136,95.3225553914328,2
Kiwi,382.67686424474186,442.3613766730401,412.80740917782026,1
Knolkhol,50.372855701311806,57.68163471241171,54.12161453077699,0
Lemon,42.19705340699816,50.166666666666664,46.3387108655617,0
Lettuce,77.22421142369991,87.99886331344132,82.72665814151748,0
Lime,276.36941303177167,321.5764674205708,299.0246795907377,3
Litchi(Indian),201.27659574468086,230.46099290780143,215.97510638297874,3
Litchi(Local),108.0635838150289,125.27456647398844,116.97736994219653,2
Maize,9.25,10.5,9.875,0
Mandarin,213.12024353120245,238.82800608828006,226.17199391171994,3
Mango(Calcutte),130.92485549132948,147.6878612716763,139.35462427745665,2
Mango(Chousa),145.5737704918033,162.78688524590163,154.24868852459016,2
Mango(Dushari),136.06194690265488,153.42182890855457,144.9977581120944,2
Mango(Maldah),99.1103507271172,110.99657827202738,105.12578272027373,2
Mint,173.76775877065816,195.7480429109887,184.7955987242679,2
Mombin,52.78065934065934,60.28835164835165,56.655802197802196,0
Mushroom(Button),326.9501201923077,357.2175480769231,342.2445673076923,1
Mushroom(Kanya),147.9822246162133,164.2862914085645,156.12290061944518,2
Musk Melon,36.8,42.0,39.4,0
Mustard Leaf,44.22632331902718,51.74391988555079,48.07518741058655,0
Neuro,74.68261964735517,84.18992443324937,79.57900755667505,0
Okara,67.386432298819,75.59681406207086,71.51850865146938,0
Onion Dry (Chinese),83.16964285714286,89.67857142857143,86.425625,0
Onion Dry (Indian),46.06925357046618,48.82780921584479,47.44860145513339,0
Onion Green,74.75120902740463,84.23347662547017,79.6739145620634,0
Orange(Indian),118.64651773981603,130.5059132720105,124.63325886990802,2
Orange(Nepali),85.02253985706432,95.46014293567895,90.26514018691589,0
Papaya(Indian),90.40515653775323,100.93615715162676,96.01016574585636,2
Papaya(Nepali),62.284584980237156,70.87531440891125,66.67559468199784,0
Parseley,178.0016077170418,199.60932475884243,188.8622540192926,3
Pear(Chinese),225.84214808787632,245.61025223759154,235.80485760781121,3
Pear(Local),91.8522911051213,100.9822102425876,96.52167654986522,2
Pineapple,111.6436273154548,124.65302737074924,118.19070776886922,2
Pointed Gourd(Local),59.390866353257216,66.49059771658831,62.972293485560776,0
Pointed Gourd(Terai),77.45619658119658,87.55021367521367,82.70657051282052,0
Pomegranate,230.7479338842975,250.21074380165288,240.61059779614325,3
Potato Red,36.208255159474675,39.302599839185206,37.757435004020365,0
Potato Red(Indian),32.86177248677249,35.408068783068785,34.14364417989418,0
Potato Red(Mude),46.953125,49.33238636363637,48.16897727272727,0
Potato White,27.66156728067437,30.261005307524197,28.971108335935064,0
Pumpkin,29.723709110570425,34.78507704785077,32.27364422816978,0
Raddish Red,37.69708491761724,45.37579214195184,41.717813688212935,0
Raddish White(Hybrid),32.23233532934132,38.8437125748503,35.652820359281435,0
Raddish White(Local),23.843691148775896,29.181329028786656,26.53949959644875,0
Red Cabbbage,94.54751314193288,108.7484836231298,101.7614112414072,2
Sarifa,180.34883720930233,221.62790697674419,201.0464534883721,3
Smooth Gourd,48.77486077963405,56.624900556881464,52.757879872712806,0
Snake Gourd,32.58965517241379,38.989080459770115,35.910252873563216,0
Soyabean Green,72.86713286713287,81.62873490146218,77.39578512396695,0
Spinach Leaf,65.7445606103419,74.06018649335971,69.99884995761515,0
Sponge Gourd,43.971084337349396,50.797590361445785,47.47495582329317,0
Squash(Long),29.757772463272975,35.761188930645716,32.775288691492996,0
Squash(Round),37.88482632541133,45.74405850091408,41.97360146252285,0
Strawberry,419.38345864661653,491.8646616541353,455.72427067669173,1
Sugarbeet,67.27108768035517,76.81742508324085,72.16408435072141,0
Sugarcane,61.45275035260931,71.65021156558534,66.6292101551481,0
Sweet Lime,82.17391304347827,95.0,88.80434782608695,0
Sweet Orange,120.22250566893425,132.61196145124717,126.47464569160998,2
Sweet Potato,55.84021406727829,64.41819571865443,60.250749235474004,0
Sword Bean,69.0785046728972,78.1822429906542,73.7376214953271,0
Tamarind,118.3554054054054,128.57162162162163,123.59295405405405,2
Tofu,81.54180238870792,91.39929424538545,86.60572475570032,0
Tomato Big(Indian),58.38853046594982,67.24802867383512,62.98590681003584,0
Tomato Big(Nepali),49.19546568627451,56.04013480392157,52.65547794117647,0
Tomato Small(Indian),34.96730552423901,41.98421645997745,38.490811724915446,0
Tomato Small(Local),33.47141316073355,39.900215749730314,36.69079018338727,0
Tomato Small(Terai),32.047872340425535,39.027925531914896,35.572486702127655,0
Tomato Small(Tunnel),38.97625329815303,46.689973614775724,42.909248021108176,0
Tree Tomato,96.88073394495413,108.62385321100918,103.53357798165138,2
Turnip,58.635396518375245,67.33558994197293,63.24842359767892,0
Turnip A,57.03151199768719,64.81786643538595,61.0244348077479,0
Water Melon(Dotted),31.140625,37.125,34.22359375,0
Water Melon(Green),45.9268758526603,52.7762619372442,49.44126330150068,0
Yam,46.03519256308101,52.87782204515272,49.53821381142099,0
